year_of_build,description,date,rieltor,district,num_of_rooms,floor_of_flat,sum_of_floors,area_of_flat,PRICE
2021,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,9,61.9,22700000
2022,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,61.6,22700000
2022,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,12,58.0,21400000
2021,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,9,59.2,21800000
2005,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,3.0,8,9,71.0,32500000
2021,кирпичный,28.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,13,77.0,26450000
2012,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,12,70.0,23800000
2016,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,3.0,1,9,73.1,37450000
2011,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,14,17,84.2,27450000
2023,блочный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,14,51.0,23500000
1993,панельный,27.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,6,74.7,24450000
2021,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,35.0,17500000
2008,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,12,53.4,28450000
2022,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,38.4,16500000
2021,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,34.2,13000000
2012,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,12,38.0,16500000
1994,блочный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,5,52.0,20450000
2021,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,13,55.0,26500000
2007,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,10,40.8,13400000
2019,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,14,42.0,16500000
2011,блочный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,14,22,81.7,34000000
2004,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,40.0,21000000
2014,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,11,12,38.0,17500000
2007,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,48.2,20800000
2009,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,20.4,11500000
2000,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,45.0,19000000
1993,панельный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,52.2,21500000
2000,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,36.0,17000000
2012,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,14,32.0,15450000
2009,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,36.7,24000000
2022,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,10,10,40.9,19000000
2014,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,49.0,19500000
1990,панельный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,46.0,16500000
2022,монолитный,27.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,10,44.0,18000000
2013,кирпичный,27.03.24,"Компания ""Этажы"" ",Алматы,2.0,12,12,75.0,29850000
2021,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,39.7,22000000
2022,панельный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,16,51.0,27000000
1992,панельный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,50.1,21000000
2009,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,9,40.0,17500000
2012,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,3.0,1,10,70.0,27200000
1992,панельный,26.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,6,68.0,26500000
2011,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,13,16,55.9,21000000
2022,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,10,45.0,12999000
2019,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,7,43.0,20000000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,18,50.0,20500000
2011,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,10,80.0,27500000
2019,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,40.3,19450000
2014,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,48.9,19000000
2018,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,42.0,18000000
2021,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,55.0,24500000
2021,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,3.0,16,17,67.5,30000000
2021,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,38.0,17300000
2013,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,19,78.9,30000000
2013,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,11,19,54.0,22450000
2006,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,71.0,37700000
1975,панельный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,5,42.0,18000000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,17,49.0,18700000
2017,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,7,41.6,31000000
2018,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,11,57.1,28500000
2006,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,63.5,24500000
2018,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,10,52.0,26000000
2016,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,10,45.0,20000000
2023,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,17,41.7,21900000
2019,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,39.0,18000000
2007,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,10,63.7,28000000
2013,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,35.0,17300000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,10,58.8,25500000
2008,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,45.8,17800000
2019,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,10,65.0,32000000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,10,18,50.0,23000000
2021,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,39.7,18000000
2011,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,14,14,58.5,25500000
2002,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,5,73.8,26000000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,59.0,26500000
2021,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,13,53.0,25000000
2009,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,9,61.0,22500000
2023,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,37.0,13900000
2018,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,81.9,35000000
2023,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,18,21,41.0,21000000
2020,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,7,43.0,16500000
2021,кирпичный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,20,45.8,18000000
2012,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,12,54.0,21900000
2015,монолитный,26.03.24,"Компания ""Этажы"" ",Алматы,3.0,14,18,70.0,31500000
1974,панельный,26.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,33.0,14500000
2020,монолитный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,15,21,52.4,26950000
2015,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,10,60.0,26500000
2019,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,10,64.6,40000000
1968,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,5,56.2,18000000
2009,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,13,74.0,35450000
2023,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,74.76,24450000
2023,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,12,26.0,14400000
2013,панельный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,12,14,40.0,18600000
2021,монолитный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,15,24,49.0,21000000
2018,монолитный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,14,24,49.0,28450000
2018,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,22.0,8400000
2023,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,10,23.2,9400000
2007,кирпичный,25.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,44.2,17450000
2020,монолитный,25.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,10,64.0,26000000
2012,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,12,12,59.0,35500000
2014,кирпичный,24.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,49.0,25000000
2004,панельный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,52.5,22500000
1998,кирпичный,24.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,109.0,43500000
2012,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,55.5,25500000
2020,блочный,24.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,9,68.0,28500000
2022,блочный,24.03.24,"Компания ""Этажы"" ",Алматы,1.0,10,15,43.6,19500000
2006,кирпичный,24.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,35.0,14500000
2012,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,9,79.8,25000000
1992,блочный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,6,51.0,23000000
2012,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,12,54.0,22000000
2010,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,14,68.0,30000000
1987,панельный,24.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,5,35.9,17500000
2006,кирпичный,24.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,9,82.4,35000000
2012,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,10,98.2,38000000
2019,монолитный,24.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,8,30.1,13900000
2015,кирпичный,23.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,9,36.4,17900000
2022,монолитный,23.03.24,"Компания ""Этажы"" ",Алматы,1.0,10,13,50.0,21000000
2008,монолитный,23.03.24,"Компания ""Этажы"" ",Алматы,3.0,1,13,74.0,26000000
1989,панельный,23.03.24,"Компания ""Этажы"" ",Алматы,4.0,4,6,103.0,38000000
1989,панельный,23.03.24,"Компания ""Этажы"" ",Алматы,4.0,2,5,74.6,30500000
2000,кирпичный,23.03.24,"Компания ""Этажы"" ",Алматы,4.0,2,3,73.8,32500000
1992,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,6,6,66.0,24500000
2004,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,10,10,55.0,20000000
2023,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,10,21.0,9200000
1985,панельный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,4,5,78.7,29000000
2024,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,42.2,14000000
2023,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,8,75.15,19900000
1981,панельный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,35.4,12400000
2013,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,19,47.7,17950000
2009,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,16,64.0,25500000
2012,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,14,38.0,18500000
2006,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,10,43.7,15500000
1984,панельный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,48.6,25000000
2021,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,12,45.0,28000000
2014,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,11,15,73.0,27000000
2012,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,14,16,48.7,19500000
2022,блочный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,17,17,69.0,31000000
2010,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,14,83.0,34500000
2019,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,10,72.0,35500000
2012,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,1,6,80.0,25500000
2008,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,5,48.9,23000000
2018,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,30.0,18000000
2020,монолитный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,10,84.1,40000000
2021,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,10,50.0,31000000
1979,панельный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,23.0,11000000
2001,блочный,22.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,110.0,34500000
2007,кирпичный,22.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,10,42.2,16990000
2008,монолитный,21.03.24,Частное лицо,Алматы,1.0,18,18,55.4,20000000
2015,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,8,9,76.0,24500000
2009,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,12,60.0,23000000
2022,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,41.7,20000000
2015,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,9,58.1,22790000
2022,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,22.0,9500000
2010,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,9,54.0,30500000
2015,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,6,10,78.0,37000000
1970,панельный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,4,32.0,9400000
2023,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,57.8,26250000
2012,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,18,47.0,21000000
2023,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,10,38.0,16000000
2010,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,19.1,8500000
2022,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,37.0,16000000
2021,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,11,65.0,33000000
2011,блочный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,12,58.0,23500000
2006,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,65.3,25000000
2015,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,60.0,25000000
2020,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,13,59.81,32000000
2022,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,4,9,78.0,27300000
2023,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,9,51.6,20000000
2009,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,12,52.7,18950000
2015,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,10,75.2,28450000
2008,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,10,53.7,22900000
1973,панельный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,33.0,15300000
2024,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,12,36.7,23000000
2006,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,13,16,48.0,25000000
2009,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,12,16,76.4,29500000
2010,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,21,23,56.0,25000000
1998,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,4.0,5,5,90.0,28500000
2022,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,12,65.0,34000000
2019,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,14,40.0,18000000
1989,панельный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,50.0,16500000
2018,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,42.0,16950000
2019,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,38.9,19500000
2014,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,75.0,29000000
2022,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,13,14,50.0,13500000
2012,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,16,95.0,39000000
2019,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,10,55.0,25000000
2014,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,13,22,89.0,31000000
1970,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,5,42.0,18000000
2016,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,37.5,25000000
2014,монолитный,21.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,14,73.0,33500000
2021,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,20,60.0,28500000
2022,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,9,58.8,35000000
2021,кирпичный,21.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,11,65.0,28500000
2014,кирпичный,20.03.24,Частное лицо,Алматы,3.0,7,9,105.0,43000000
2005,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,9,74.0,32800000
2015,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,8,10,82.0,28500000
2017,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,15,35.3,17400000
2008,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,6,41.0,19000000
2022,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,52.0,30450000
2014,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,12,18,28.0,14400000
2004,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,5,67.7,30000000
2008,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,13,13,50.3,22000000
2017,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,7,43.5,19000000
2020,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,18,21,46.0,27450000
2020,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,9,65.0,26200000
2020,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,37.9,17950000
2012,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,8,10,80.0,34500000
2022,блочный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,16,53.0,33000000
1992,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,6,6,66.1,19500000
2023,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,4.0,7,9,118.0,35500000
2009,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,4.0,3,23,104.8,45000000
2015,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,38.0,22000000
2008,блочный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,6,63.2,25000000
2018,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,4,5,67.4,26500000
2012,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,13,20,81.0,35000000
1987,панельный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,5,45.0,16500000
1997,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,84.7,45000000
2002,блочный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,4,6,64.0,28900000
2014,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,15,18,65.8,25950000
1977,панельный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,4,5,60.2,22500000
2004,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,70.0,28000000
2007,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,13,16,56.0,24000000
2007,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,47.9,20000000
2006,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,10,30.0,12700000
1990,блочный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,9,53.0,21500000
2023,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,16,40.3,23500000
2019,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,56.0,26450000
1992,панельный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,69.0,25000000
2015,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,11,12,47.3,22500000
1989,панельный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,65.0,29000000
2019,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,7,38.2,18000000
2023,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,10,21.3,10900000
1986,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,24.0,11000000
2006,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,20.0,10000000
2012,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,4.0,8,12,128.8,44000000
2022,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,61.0,20500000
2004,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,9,93.0,41000000
2011,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,12,49.8,24000000
2023,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,12,40.0,21900000
2007,монолитный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,16,65.2,31400000
2005,кирпичный,20.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,10,53.6,22000000
2017,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,3,9,76.0,32000000
2023,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,38.0,14600000
2022,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,13,36.3,15500000
1977,панельный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,61.0,21500000
2016,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,12,12,39.5,15500000
2016,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,28,34,70.0,45450000
2016,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,13,47.9,21950000
2021,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,12,12,43.0,19700000
2016,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,12,80.0,31500000
2017,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,12,13,24.0,14000000
2011,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,15,20,55.0,23000000
2017,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,1,9,74.0,36500000
2023,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,39.5,17500000
2016,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,10,12,80.0,32000000
2022,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,39.0,15500000
2021,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,6,9,33.5,15000000
2006,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,61.8,27950000
2022,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,20.48,10000000
2021,панельный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,34.5,15000000
2009,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,16,51.0,21000000
2022,блочный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,8,17,68.1,28000000
2007,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,15,16,69.0,28100000
2019,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,41.0,19450000
1979,панельный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,1,5,20.0,11000000
2015,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,57.0,26000000
2015,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,2,17,51.0,21650000
2006,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,5,70.0,26000000
2009,блочный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,14,47.0,22500000
2022,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,9,53.0,24500000
1989,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,3.0,5,6,58.6,23000000
2022,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,12,61.0,34000000
2012,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,11,12,47.0,19000000
2022,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,9,58.3,35000000
2018,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,39.7,20500000
2011,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,1,9,54.0,23500000
2007,блочный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,42.2,18000000
2011,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,4,5,20.0,9400000
1992,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,35.0,18000000
1978,панельный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,4,5,47.0,18000000
2011,кирпичный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,17.5,10500000
2006,панельный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,75.0,31000000
2017,монолитный,19.03.24,"Компания ""Этажы"" ",Алматы,1.0,8,12,43.0,22400000
2020,блочный,19.03.24,"Компания ""Этажы"" ",Алматы,2.0,6,9,60.0,25500000
